QKEY,INTERVIEW_START_W144,INTERVIEW_END_W144,DEVICE_TYPE_W144,LANG_W144,XRAND_FB_IG_W144,SMUSE_a_W144,SMUSE_c_W144,SMUSE_d_W144,SMUSE_i_W144,SMUSE2_a_W144,SMUSE2_c_W144,SMUSE2_d_W144,SMUSE2_i_W144,SOCIALNEWS2_a_W144,SOCIALNEWS2_c_W144,SOCIALNEWS2_d_W144,SOCIALNEWS2_i_W144,DOV_USE4_W144,DOV_ASKFB_W144,DOV_ASKIG_W144,FBWHY_a_W144,FBWHY_b_W144,FBWHY_c_W144,FBWHY_d_W144,FBWHY_e_W144,FBWHY_f_W144,FBWHY_g_W144,FBDEMOCRACY_W144,FBSOURCE_a_W144,FBSOURCE_b_W144,FBSOURCE_c_W144,FBSOURCE_d_W144,FBSOURCE_e_W144,FBTYPE_a_W144,FBTYPE_b_W144,FBTYPE_c_W144,FBTYPE_d_W144,FBACC_W144,FBINFLUENCE_W144,FBELSE_W144,FBWORN_W144,FBHARASS_W144,FBSHARE_W144,FBSHAREPOL_W144,FBWHYSP_a_W144,FBWHYSP_b_W144,FBWHYSP_c_W144,FBWHYSP_d_W144,FBWHYNTSP_a_W144,FBWHYNTSP_b_W144,FBWHYNTSP_c_W144,FBWHYNTSP_d_W144,FBSEEPOL_W144,FBPOLIDEO_W144,FBFREEEXP_W144,IGWHY_a_W144,IGWHY_b_W144,IGWHY_c_W144,IGWHY_d_W144,IGWHY_e_W144,IGWHY_f_W144,IGWHY_g_W144,IGDEMOCRACY_W144,IGSOURCE_a_W144,IGSOURCE_b_W144,IGSOURCE_c_W144,IGSOURCE_d_W144,IGSOURCE_e_W144,IGTYPE_a_W144,IGTYPE_b_W144,IGTYPE_c_W144,IGTYPE_d_W144,IGACC_W144,IGINFLUENCE_W144,IGELSE_W144,IGWORN_W144,IGHARASS_W144,IGSHARE_W144,IGSHAREPOL_W144,IGWHYSP_a_W144,IGWHYSP_b_W144,IGWHYSP_c_W144,IGWHYSP_d_W144,IGWHYNTSP_a_W144,IGWHYNTSP_b_W144,IGWHYNTSP_c_W144,IGWHYNTSP_d_W144,IGSEEPOL_W144,IGPOLIDEO_W144,IGFREEEXP_W144,XTWHY_a_W144,XTWHY_b_W144,XTWHY_c_W144,XTWHY_d_W144,XTWHY_e_W144,XTWHY_f_W144,XTWHY_g_W144,XTDEMOCRACY_W144,XTSOURCE_a_W144,XTSOURCE_b_W144,XTSOURCE_c_W144,XTSOURCE_d_W144,XTSOURCE_e_W144,XTTYPE_a_W144,XTTYPE_b_W144,XTTYPE_c_W144,XTTYPE_d_W144,XTACC_W144,XTINFLUENCE_W144,XTELSE_W144,XTWORN_W144,XTHARASS_W144,XTSHARE_W144,XTSHAREPOL_W144,XTWHYSP_a_W144,XTWHYSP_b_W144,XTWHYSP_c_W144,XTWHYSP_d_W144,XTWHYNTSP_a_W144,XTWHYNTSP_b_W144,XTWHYNTSP_c_W144,XTWHYNTSP_d_W144,XTSEEPOL_W144,XTPOLIDEO_W144,XTFREEEXP_W144,TTWHY_a_W144,TTWHY_b_W144,TTWHY_c_W144,TTWHY_d_W144,TTWHY_e_W144,TTWHY_f_W144,TTWHY_g_W144,TTDEMOCRACY_W144,TTSOURCE_a_W144,TTSOURCE_b_W144,TTSOURCE_c_W144,TTSOURCE_d_W144,TTSOURCE_e_W144,TTTYPE_a_W144,TTTYPE_b_W144,TTTYPE_c_W144,TTTYPE_d_W144,TTACC_W144,TTINFLUENCE_W144,TTELSE_W144,TTWORN_W144,TTHARASS_W144,TTSHARE_W144,TTSHAREPOL_W144,TTWHYSP_a_W144,TTWHYSP_b_W144,TTWHYSP_c_W144,TTWHYSP_d_W144,TTWHYNTSP_a_W144,TTWHYNTSP_b_W144,TTWHYNTSP_c_W144,TTWHYNTSP_d_W144,TTSEEPOL_W144,TTPOLIDEO_W144,TTFREEEXP_W144,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W144,WEIGHT_W144_FB,WEIGHT_W144_IG,WEIGHT_W144_XT,WEIGHT_W144_TT
103538,2024-03-19T22:10:46Z,2024-03-19T22:11:08Z,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,8,3,4,1,1,5,2,,1,1,1,1,1,2,2,2,5,3,2,2,3,1,9,3,2,2,3,0.4294743152222483,,,,
103677,2024-03-19T15:37:56Z,2024-03-19T15:44:42Z,2,1,1,1,1,1,1,6,5,6,3,2,2,2,2,1,1,0,3,3,3,2,1,2,3,1,,,,,,1,1,1,1,,,,,3,1,5,,,,,3,1,2,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,2,3,1,,,,,,1,1,1,1,,,,,3,2,,,,,,,,,,2,3,1,3,3,3,1,3,3,3,1,,,,,,1,2,1,1,,,,,3,2,,,,,,,,,,3,3,1,1,1,2,2,3,1,2,4,2,,1,1,1,1,1,2,2,2,5,1,,1,1,1,9,1,1,1,3,0.3624989563759958,0.7249979127519915,,0.3624989563759958,0.3624989563759958
103956,2024-03-20T08:39:20Z,2024-03-20T08:39:47Z,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,4,2,1,5,2,,1,1,1,1,5,11,,4,6,2,,2,4,1,2,4,2,2,2,0.4615961775790501,,,,
104210,2024-03-23T11:29:36Z,2024-03-23T11:34:55Z,2,1,2,1,2,1,2,4,,2,,2,,2,,0,1,1,3,3,2,3,1,3,3,2,,,,,,1,1,1,2,,,,,2,1,4,3,3,3,3,,,,,4,4,1,3,3,2,1,1,2,3,3,,,,,,1,2,1,2,,,,,2,1,5,,,,,3,1,3,2,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,2,3,2,2,,1,1,1,1,2,12,,3,6,2,,2,4,1,2,5,2,2,1,1.1868737997793626,1.1868737997793626,1.1868737997793626,,
104368,2024-03-20T05:44:21Z,2024-03-20T05:51:12Z,1,1,2,1,99,99,99,3,,,,2,,,,0,1,0,3,2,2,2,1,2,3,1,,,,,,1,1,1,1,,,,,3,2,,,,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,2,4,1,3,2,2,,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,3,1,2,0.6899202077662243,0.6899202077662243,,,
104491,2024-03-20T19:03:34Z,2024-03-20T19:11:10Z,1,1,1,1,2,2,2,2,,,,2,,,,0,1,0,3,2,3,2,1,2,2,3,,,,,,1,2,1,2,,,,,2,1,5,,,,,3,2,1,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,9,1,4,2,2,3,2,,4,1,1,4,5,12,,3,6,2,,2,4,1,3,5,3,2,2,0.6090255669766664,0.6090255669766664,,,
104689,2024-03-19T19:51:06Z,2024-03-19T19:56:26Z,2,1,2,1,2,2,2,2,,,,1,,,,0,1,0,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,3,3,1,3,2,1,5,,,,,1,1,2,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,4,2,3,2,2,,1,1,1,1,5,1,1,1,2,2,,2,3,1,1,3,2,2,1,0.687610066,0.687610066,,,
104727,2024-03-22T08:49:55Z,2024-03-22T08:52:20Z,2,1,1,1,2,2,2,2,,,,2,,,,0,1,0,3,2,3,1,1,2,3,2,,,,,,1,1,1,1,,,,,2,1,4,3,3,3,2,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,1,3,2,2,,1,1,1,1,1,2,2,2,6,1,,1,1,1,99,2,2,2,99,1.9498749986568757,1.9498749986568757,,,
105124,2024-03-19T21:36:11Z,2024-03-19T21:41:46Z,2,1,2,1,1,2,2,4,2,,,2,2,,,0,1,0,3,3,2,2,1,1,3,1,,,,,,2,2,1,1,,,,,1,1,5,,,,,3,3,1,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,2,1,2,2,,,,,,1,1,1,1,,,,,1,1,5,,,,,2,3,3,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,2,4,1,1,6,2,,1,1,1,1,1,2,2,2,2,1,,1,1,1,9,2,2,2,3,0.3728276628480325,0.3728276628480325,,0.3728276628480325,
105205,2024-03-19T16:28:35Z,2024-03-19T16:28:47Z,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,2,3,2,2,4,2,,1,1,1,1,1,2,2,2,1,1,,1,1,1,9,1,2,1,2,0.38789877091492864,,,,
105269,2024-03-20T15:27:31Z,2024-03-20T15:34:06Z,1,1,1,1,1,1,2,2,6,5,,2,2,2,,0,1,1,3,2,2,1,1,2,3,1,,,,,,1,1,1,2,,,,,3,1,3,1,3,3,2,,,,,3,3,1,3,3,3,3,1,3,3,3,,,,,,1,2,1,2,,,,,3,2,,,,,,,,,,4,1,1,3,3,3,3,1,2,3,3,,,,,,1,2,1,2,,,,,2,2,,,,,,,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,2,4,1,1,6,2,,1,1,1,1,1,2,2,2,4,3,2,2,3,1,4,3,2,2,2,0.45599269464314823,0.45599269464314823,0.45599269464314823,0.45599269464314823,
106180,2024-03-19T19:14:24Z,2024-03-19T19:17:04Z,1,1,2,1,2,2,2,3,,,,2,,,,0,1,0,3,3,3,3,1,1,3,2,,,,,,1,1,1,1,,,,,2,1,4,2,3,2,1,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,3,3,1,2,4,2,,1,1,1,1,1,1,1,1,1,1,,1,1,1,9,1,2,1,2,0.4601401687921045,0.4601401687921045,,,
106444,2024-03-19T15:29:29Z,2024-03-19T15:33:53Z,2,1,1,1,2,1,2,2,,5,,2,,2,,0,1,1,3,3,2,2,1,2,3,2,,,,,,1,1,1,1,,,,,2,1,4,2,2,2,1,,,,,3,2,1,3,3,2,2,1,3,3,3,,,,,,1,2,2,2,,,,,3,1,5,,,,,3,3,1,3,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,4,2,1,5,2,,1,1,1,1,1,2,2,2,6,2,,2,4,1,9,4,1,1,3,0.3461317384732435,0.3461317384732435,0.3461317384732435,,
106590,2024-03-23T11:51:01Z,2024-03-23T11:55:14Z,2,1,2,1,99,1,99,3,,6,,2,,2,,0,1,1,3,3,2,1,1,2,3,2,,,,,,1,1,1,1,,,,,3,1,5,,,,,3,1,1,3,4,2,1,3,3,2,2,1,3,3,2,,,,,,1,1,1,2,,,,,2,2,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,9,2,3,2,1,6,2,,1,1,1,1,1,12,,3,5,3,1,1,2,1,9,3,2,2,3,0.6611954805382239,0.6611954805382239,0.6611954805382239,,
106885,2024-03-20T00:21:32Z,2024-03-20T00:31:21Z,2,1,1,1,2,99,1,1,,,1,2,,,2,0,1,0,3,3,3,2,1,1,3,2,,,,,,1,1,1,1,,,,,1,1,4,3,2,3,3,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,1,1,3,2,,,,,,1,1,1,1,,,,,1,1,4,2,2,3,2,,,,,3,2,2,1,4,9,2,4,2,1,5,1,1,1,4,3,1,1,2,2,2,1,1,,1,1,1,9,2,1,1,3,0.4174202939755799,0.4174202939755799,,,0.4174202939755799
107023,2024-03-20T06:08:57Z,2024-03-20T06:17:17Z,1,1,2,1,2,2,1,5,,,6,2,,,2,0,1,0,3,3,3,2,2,2,3,1,,,,,,1,2,1,2,,,,,2,1,4,3,2,3,3,,,,,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,3,3,3,3,,,,,,1,1,1,1,,,,,1,2,,,,,,,,,,4,4,1,1,3,5,2,3,2,2,3,2,,1,2,2,1,6,1,1,1,4,2,,2,3,1,4,3,2,2,2,0.4713325483706822,0.4713325483706822,,,0.4713325483706822
107612,2024-03-20T23:43:25Z,2024-03-20T23:48:42Z,2,1,1,1,2,2,2,6,,,,2,,,,0,1,0,3,3,3,2,1,1,3,3,,,,,,1,2,1,2,,,,,3,1,5,,,,,3,3,1,3,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,2,4,2,2,4,2,,1,2,2,1,1,1,2,1,2,99,2,2,3,1,1,3,2,2,1,0.7270286622158781,0.7270286622158781,,,
107668,2024-03-19T22:27:36Z,2024-03-19T22:34:23Z,2,1,2,1,2,1,1,4,,5,5,2,,2,2,0,1,1,3,3,2,1,1,1,3,3,,,,,,1,1,1,2,,,,,2,1,5,,,,,3,3,2,3,4,1,1,3,3,1,1,2,1,1,3,,,,,,1,1,1,2,,,,,3,2,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,1,3,1,2,3,,,,,,1,2,1,2,,,,,3,2,,,,,,,,,,4,4,1,2,3,7,3,3,2,1,5,2,,1,1,1,1,6,1,2,1,6,1,,1,2,1,9,3,1,1,3,0.3427729228311539,0.3427729228311539,0.3427729228311539,,0.3427729228311539
108035,2024-03-19T21:02:49Z,2024-03-19T21:03:05Z,2,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,8,2,3,1,3,1,2,,1,2,2,1,1,1,2,1,3,1,,1,1,1,6,1,3,1,2,1.2033067800213801,,,,
108435,2024-03-21T07:49:20Z,2024-03-21T07:53:18Z,2,1,2,2,1,2,2,,4,,,,1,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,3,3,3,3,1,1,2,2,2,2,1,1,1,1,3,3,1,4,2,2,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,2,4,2,1,6,2,,1,1,1,1,1,2,2,2,4,1,,1,1,1,9,2,2,2,3,0.7389109480656635,,,0.7389109480656635,
